MUESTRA;DEPARTAMENTO;MUNICIPIO;ALTITUD;HUMEDAD;PESO.INI.PERG;PESO.ALMEN;MERMA;%M 18/64;%M 17/64;%M 16/64;%M 15/64;%M 14/64;%M 13/64;%M 12/64;%FONDO;GRANOS.G1;PESO.GRANOS.G1;GRANOS.G2;PESO.GRANOS.G2;GRANO.BROC.P;PESO.GRANO.B.P;GRANOS.DEF;PESO.DEF;PORCENTAJE.DEF;ALM.VERD.L*;ALM.VERD.a*;ALM.VERD.b*;ALM.VERD.X;ALM.VERD.Y;ALM.VERD.Z;CAFE.TOS.L*;CAFE.TOS.a*;CAFE.TOS.b*;CAFE.TOS.X;CAFE.TOS.Y;CAFE.TOS.Z;Aroma;Sabor;Sabor.Residual;Acidez;Cuerpo;Balance;Uniformidad;Taza.Limpia;Dulzor;Overall
17;TOLIMA;IBAGUE;1230;10,37;250,68;207,72;17,14;42,78;32,08;15,01;7,26;1,93;0;0,86;0,08;0;0;8;1,3;117;18,89;125;20,19;9,72;43,84;1,1;15,96;13,18;13,73;8,9;25,31;8,02;12,4;4,89;4,52;2,73;5;5;5;5,5;5;5;5,5;5;5;5
18;TOLIMA;IBAGUE;1230;10,37;250,03;205,53;17,8;24,41;29,72;27,3;10,72;5,86;0;1,9;0,02;0;0;7;0,87;0;0;7;0,87;0,42;44,74;1,09;16,2;13,78;14,35;9,3;22,61;7,77;11,37;4,01;3,69;2,25;5,5;6;5,5;5,5;6;6;6;6;5;6
19;TOLIMA;IBAGUE;1230;10,71;250,48;204,32;18,43;19,35;32,46;31,01;12,64;3,75;0;0,62;0,03;3;0,4;30;5,01;0;0;33;5,41;2,65;45,68;0,02;16,74;14,26;15,03;9,65;24,96;7,32;11,99;4,72;4,4;2,7;3,5;3;3;3;3;3;4;3;4;3
20;TOLIMA;IBAGUE;1230;10,84;250,4;204,72;18,24;40;30,83;16,05;8,96;3,36;0;0,74;0;4;0,55;19;2,77;0;0;23;3,32;1,62;43,28;0,47;15,86;12,72;13,34;8,63;25,39;8,15;13,14;4,92;4,54;2,65;5;6;5,5;5;6;6;6;6;5;6
21;CUNDINAMARCA;CUNDINAMARCA;3341;10,91;250,54;206,86;17,43;31,84;32,96;22,08;8,96;3,07;0;0,99;0,1;17;1,81;29;4,06;5;0,64;51;6,51;3,15;43,26;1,07;15,13;12,8;13,33;8,85;23,76;7,39;11,85;4,33;4,03;2,45;5,5;5,5;5;5,5;5;5,5;5,5;5,5;5,5;5,5
22;CUNDINAMARCA;SUPATA;1790;10,84;250,6;206,23;17,71;40,87;26,82;19,47;7,33;4,03;0;1,27;0,14;3;0,43;32;4,84;8;1,16;43;6,43;3,12;43,17;1,29;16,34;12,78;13,27;8,44;23,84;7,83;11,85;4,39;4,05;2,46;5;5;5,5;5;5;5;5,5;5;5,5;5
23;CUNDINAMARCA;SAN FRANCISCO;1500;11,51;250,65;209,07;16,59;31,91;27,11;21,19;11,57;6,09;0;2;0,02;1;0,08;33;4,71;12;1,67;46;6,46;3,09;42,26;1,22;14,14;12,19;12,67;8,62;26,45;8,3;13,59;5,31;4,9;2,84;4,5;5,5;5,5;5,5;5;5,5;5,5;5;5,5;5
24;CUNDINAMARCA;GUADUAS;990;12,88;250,48;206,06;17,73;20,78;33,93;28,53;11,1;4,83;0;0,89;0,02;3;0,35;22;3,11;7;1,09;32;4,55;2,21;43,48;1,92;16,57;13,07;13,48;8,52;25,79;8,16;12,92;5,06;4,68;2,78;5;5;5,5;5;5;5,5;5,5;5;5,5;5
25;CUNDINAMARCA;SAN FRANCISCO;1500;10,16;250,41;207,53;17,12;10,55;23,46;38,62;19,95;5,64;0;1,79;0;0;0;25;4,19;1;0,17;26;4,36;2,1;45,91;1,28;15,63;14,62;15,2;10,15;25,49;7,45;12,27;4,9;4,58;2,79;5;5,5;5;5;5;5;5,5;5;5,5;5
26;CUNDINAMARCA;SUPATA;1790;11,38;250,23;205,95;17,7;26,32;26,08;24,05;13,66;7,65;0;1,93;0,16;11;1,21;52;6,71;27;3,54;90;11,46;5,56;45,43;1,37;16,16;14,3;14,85;9,7;26,03;7,86;12,3;5,12;4,76;2,92;5;5;5;5;6;5;5,5;5;5;5
27;QUINDIO;FILANDIA;1870;9,96;250,66;203,37;18,87;38,64;27,41;17,96;9,79;4,64;0;1,08;0;3;0,3;13;1,77;30;5,15;46;7,22;3,55;45,23;1,47;15,95;14,18;14,71;9,65;23,63;7,08;10,55;4,27;3,99;2,59;5;4,5;4;4,5;4;4;4;3,5;3,5;3,5
28;QUINDIO;QUIMBAYA;1310;10,03;250,03;203,14;18,75;38,47;29,5;20,67;7,39;2,91;0;0,91;0,12;0;0;22;2,56;29;4,43;51;6,99;3,44;44,41;1,21;15,08;13,58;14,12;9,48;24,41;7,66;12,5;4,56;4,23;2,51;5;4;3,5;4;3,5;3;4;3;3,5;3
29;QUINDIO;MONTENEGRO;1290;10,64;250,65;202,97;19,02;46,03;28,85;15,9;6,3;1,82;0;0,98;0,11;0;0;42;4,77;54;8,66;96;13,43;6,62;44,51;1,48;15,61;13,69;14,19;9,37;24,97;7,37;11,75;4,72;4,4;2,74;5;4,5;4,5;4,5;4;4,5;4;4;4;4
30;QUINDIO;GENOVA;2700;12,47;250,18;207,13;17,21;15,39;34,12;32,36;12,32;5,03;0;0,77;0;0;0;3;0,39;10;1,75;13;2,14;1,03;44,21;0,76;14,93;13,38;13,98;9,42;25,46;7,89;12,33;4,93;4,56;2,77;6;5;5;5;4,5;4,5;4,5;4,5;4,5;4,5
31;QUINDIO;QUIMBAYA;1310;9,35;250,31;200,07;20,07;19,75;27,57;28,69;13,74;6,4;0;3,83;0,05;0;0;32;3,93;14;1,75;46;5,68;2,84;47,2;1,68;16,57;15,62;16,17;10,58;22,83;7,91;12,02;4,08;3,75;2,22;5;5;5;4,5;5;5;5;4,5;5;4,5
